common_name,scientific_name,moisture_needs,moisture_needs,sunlight_needs,sunlight_needs,hardiness_zones,hardiness_zones,img,key,uses,source
Chaste Tree,Vitex agnus-castus,"{40,50,60}","Mesic, Dry Mesic, Dry","{10,20}",Full Sun to Partial Shade,{70},7a (0°F to 5°F),,"Mesic Soils: The moisture content of mesic soils is moderate and well balanced. The soil is not saturated and drains well, but never completely dries out. It usually is slightly moist. Most prairies and savannas tend to have mesic soils.  Dry-Mesic Soils: The soil moisture is between the xeric and mesic levels. These soils are not dry or balanced, but slightly dry and are more moist compared to dry soils.  Dry Soils: Xeric or dry soils have very low moisture levels. They are usually far from water resources or receive very little precipitation. Most water drains or evaporates quickly leaving the soil dry. These soils tend to be sandy, rocky and low in organic material. The roots of wetland plants need moisture and cannot tolerate these dry soils.",,
Chastetree,Vitex agnus-castus,"{40,50,60}","Mesic, Dry Mesic, Dry","{10,20}",Full Sun to Partial Shade,{60},6a (-10°F to -5°F),,"Mesic Soils: The moisture content of mesic soils is moderate and well balanced. The soil is not saturated and drains well, but never completely dries out. It usually is slightly moist. Most prairies and savannas tend to have mesic soils.  Dry-Mesic Soils: The soil moisture is between the xeric and mesic levels. These soils are not dry or balanced, but slightly dry and are more moist compared to dry soils.  Dry Soils: Xeric or dry soils have very low moisture levels. They are usually far from water resources or receive very little precipitation. Most water drains or evaporates quickly leaving the soil dry. These soils tend to be sandy, rocky and low in organic material. The roots of wetland plants need moisture and cannot tolerate these dry soils.",,
Vitex,Vitex agnus-castus,"{40,50,60}","Mesic, Dry Mesic, Dry",{10},Full Sun,{55},5b (-15°F to -10°F),,"Mesic Soils: The moisture content of mesic soils is moderate and well balanced. The soil is not saturated and drains well, but never completely dries out. It usually is slightly moist. Most prairies and savannas tend to have mesic soils.  Dry-Mesic Soils: The soil moisture is between the xeric and mesic levels. These soils are not dry or balanced, but slightly dry and are more moist compared to dry soils.  Dry Soils: Xeric or dry soils have very low moisture levels. They are usually far from water resources or receive very little precipitation. Most water drains or evaporates quickly leaving the soil dry. These soils tend to be sandy, rocky and low in organic material. The roots of wetland plants need moisture and cannot tolerate these dry soils.",,
Vitex,Vitex agnus-castus,"{50,60}","Dry Mesic, Dry","{10,20}",Full Sun to Partial Shade,{50},5a (-20°F to -15°F),,"Dry-Mesic Soils: The soil moisture is between the xeric and mesic levels. These soils are not dry or balanced, but slightly dry and are more moist compared to dry soils.  Dry Soils: Xeric or dry soils have very low moisture levels. They are usually far from water resources or receive very little precipitation. Most water drains or evaporates quickly leaving the soil dry. These soils tend to be sandy, rocky and low in organic material. The roots of wetland plants need moisture and cannot tolerate these dry soils.",,
Dwarf Chaste Tree,Vitex agnus-castus Blue Diddley™,"{40,50,60}","Mesic, Dry Mesic, Dry","{10,20}",Full Sun to Partial Shade,{50},5a (-20°F to -15°F),,"Mesic Soils: The moisture content of mesic soils is moderate and well balanced. The soil is not saturated and drains well, but never completely dries out. It usually is slightly moist. Most prairies and savannas tend to have mesic soils.  Dry-Mesic Soils: The soil moisture is between the xeric and mesic levels. These soils are not dry or balanced, but slightly dry and are more moist compared to dry soils.  Dry Soils: Xeric or dry soils have very low moisture levels. They are usually far from water resources or receive very little precipitation. Most water drains or evaporates quickly leaving the soil dry. These soils tend to be sandy, rocky and low in organic material. The roots of wetland plants need moisture and cannot tolerate these dry soils.",,
Lilac Chastetree,Vitex agnus-castus var. agnus-castus,"{40,50,60}","Mesic, Dry Mesic, Dry","{10,20}",Full Sun to Partial Shade,{70},7a (0°F to 5°F),,"Mesic Soils: The moisture content of mesic soils is moderate and well balanced. The soil is not saturated and drains well, but never completely dries out. It usually is slightly moist. Most prairies and savannas tend to have mesic soils.  Dry-Mesic Soils: The soil moisture is between the xeric and mesic levels. These soils are not dry or balanced, but slightly dry and are more moist compared to dry soils.  Dry Soils: Xeric or dry soils have very low moisture levels. They are usually far from water resources or receive very little precipitation. Most water drains or evaporates quickly leaving the soil dry. These soils tend to be sandy, rocky and low in organic material. The roots of wetland plants need moisture and cannot tolerate these dry soils.",,
Arabian Lilac,Vitex trifolia,{40},Mesic,"{10,20}",Full Sun to Partial Shade,{85},8b (15°F to 20°F),,"Mesic Soils: The moisture content of mesic soils is moderate and well balanced. The soil is not saturated and drains well, but never completely dries out. It usually is slightly moist. Most prairies and savannas tend to have mesic soils.",,
Grape,Vitis,{40},Mesic,{20},Full Sun to Partial Shade,{45},4b (-25°F to -20°F),,"Mesic Soils: The moisture content of mesic soils is moderate and well balanced. The soil is not saturated and drains well, but never completely dries out. It usually is slightly moist. Most prairies and savannas tend to have mesic soils.",,
California Wild Grape,Vitis californica,{40},Mesic,"{10,20}",Full Sun to Partial Shade,{75},7b (5°F to 10°F),,"Mesic Soils: The moisture content of mesic soils is moderate and well balanced. The soil is not saturated and drains well, but never completely dries out. It usually is slightly moist. Most prairies and savannas tend to have mesic soils.",,
Fox Grape,Vitis labrusca,"{40,50,60}","Mesic, Dry Mesic, Dry",{10},Full Sun,{60},6a (-10°F to -5°F),,"Mesic Soils: The moisture content of mesic soils is moderate and well balanced. The soil is not saturated and drains well, but never completely dries out. It usually is slightly moist. Most prairies and savannas tend to have mesic soils.  Dry-Mesic Soils: The soil moisture is between the xeric and mesic levels. These soils are not dry or balanced, but slightly dry and are more moist compared to dry soils.  Dry Soils: Xeric or dry soils have very low moisture levels. They are usually far from water resources or receive very little precipitation. Most water drains or evaporates quickly leaving the soil dry. These soils tend to be sandy, rocky and low in organic material. The roots of wetland plants need moisture and cannot tolerate these dry soils.",,
Concord Grape,Vitis labrusca,"{40,50,60}","Mesic, Dry Mesic, Dry","{10,20}",Full Sun to Partial Shade,{50},5a (-20°F to -15°F),,"Mesic Soils: The moisture content of mesic soils is moderate and well balanced. The soil is not saturated and drains well, but never completely dries out. It usually is slightly moist. Most prairies and savannas tend to have mesic soils.  Dry-Mesic Soils: The soil moisture is between the xeric and mesic levels. These soils are not dry or balanced, but slightly dry and are more moist compared to dry soils.  Dry Soils: Xeric or dry soils have very low moisture levels. They are usually far from water resources or receive very little precipitation. Most water drains or evaporates quickly leaving the soil dry. These soils tend to be sandy, rocky and low in organic material. The roots of wetland plants need moisture and cannot tolerate these dry soils.",,
Mustang Grape,Vitis mustangensis,"{40,50,60}","Mesic, Dry Mesic, Dry",{20},Full Sun to Partial Shade,{70},7a (0°F to 5°F),,"Mesic Soils: The moisture content of mesic soils is moderate and well balanced. The soil is not saturated and drains well, but never completely dries out. It usually is slightly moist. Most prairies and savannas tend to have mesic soils.  Dry-Mesic Soils: The soil moisture is between the xeric and mesic levels. These soils are not dry or balanced, but slightly dry and are more moist compared to dry soils.  Dry Soils: Xeric or dry soils have very low moisture levels. They are usually far from water resources or receive very little precipitation. Most water drains or evaporates quickly leaving the soil dry. These soils tend to be sandy, rocky and low in organic material. The roots of wetland plants need moisture and cannot tolerate these dry soils.",,
Muscadine,Vitis rotundifolia,"{40,50,60}","Mesic, Dry Mesic, Dry","{10,20}",Full Sun to Partial Shade,{60},6a (-10°F to -5°F),,"Mesic Soils: The moisture content of mesic soils is moderate and well balanced. The soil is not saturated and drains well, but never completely dries out. It usually is slightly moist. Most prairies and savannas tend to have mesic soils.  Dry-Mesic Soils: The soil moisture is between the xeric and mesic levels. These soils are not dry or balanced, but slightly dry and are more moist compared to dry soils.  Dry Soils: Xeric or dry soils have very low moisture levels. They are usually far from water resources or receive very little precipitation. Most water drains or evaporates quickly leaving the soil dry. These soils tend to be sandy, rocky and low in organic material. The roots of wetland plants need moisture and cannot tolerate these dry soils.",,
Bromeliad,Vriesea,{40},Mesic,"{20,30}",Full Sun to Dappled Shade,{100},10a (30°F to 35°F),,"Mesic Soils: The moisture content of mesic soils is moderate and well balanced. The soil is not saturated and drains well, but never completely dries out. It usually is slightly moist. Most prairies and savannas tend to have mesic soils.",,
Bromeliad,Vriesea fosteriana,{40},Mesic,{40},Partial to Full Shade,{100},10a (30°F to 35°F),,"Mesic Soils: The moisture content of mesic soils is moderate and well balanced. The soil is not saturated and drains well, but never completely dries out. It usually is slightly moist. Most prairies and savannas tend to have mesic soils.",,
Alcantarea,Vriesea imperialis,"{40,50}","Mesic, Dry Mesic","{10,20}",Full Sun to Partial Shade,{100},10a (30°F to 35°F),,"Mesic Soils: The moisture content of mesic soils is moderate and well balanced. The soil is not saturated and drains well, but never completely dries out. It usually is slightly moist. Most prairies and savannas tend to have mesic soils. Dry-Mesic Soils: The soil moisture is between the xeric and mesic levels. These soils are not dry or balanced, but slightly dry and are more moist compared to dry soils.",,
